Date (UTC),User ID,Username,User,IP address,Status,Sign-in error code,Failure reason,Client app,User agent,Authentication Protocol,Authentication requirement,Multifactor authentication result,Multifactor authentication auth method,Multifactor authentication auth detail,Application,Resource,Location,Autonomous system  number,Conditional Access,Unique token identifier,Request ID,Correlation ID,Session ID
3/16/2026 13:16,ad7d6953-44f8-4147-b253-a0ea3ca905a8,lily.henderson,lily.henderson@spacecoastcybertech.com,24.165.254.135,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Titusville, Florida, US",AS11427,success,4fec0feb-64d8-44f3-b332-d611e101c4b9,fb0dddab-998f-41ef-92d5-9b3ae3fc9887,fdfbf8bc-ad52-48c5-b76e-b51bfd5e25ae,cd470f63-0a09-4435-a94c-fb2c29b1ba19
3/16/2026 13:27,f75a2f51-b917-4426-ae36-b0e875a37515,chloe.sanders,chloe.sanders@spacecoastcybertech.com,24.165.7.237,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Cocoa, Florida, US",AS7922,success,33544aa5-19cf-4a25-b87d-01048b36f7b2,1952e073-f6e8-40fa-8a7a-434abef703ef,0a9c4bb4-1704-42f2-980d-92ad46a7b48e,8ca3a7bf-b27d-4171-be0b-1da50725e928
3/16/2026 13:30,68b0f068-7eac-4da3-8ebe-aaa50c982cc6,scarlett.jenkins,scarlett.jenkins@spacecoastcybertech.com,24.165.58.161,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Exchange Online,Exchange Online,"Orlando, Florida, US",AS701,success,821174fa-e436-4523-8b38-877223c0d001,858a3015-2bb0-465b-84f5-966022d98dec,6244fc78-1b6c-4a10-babc-b01b7e023fe0,311bb7d4-64ca-45c5-8b3f-5385c4df5d87
3/16/2026 13:48,88fb1ca7-5217-40ec-9e11-91ffad286cd9,logan.hayes,logan.hayes@spacecoastcybertech.com,24.165.40.14,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Exchange Online,Exchange Online,"Orlando, Florida, US",AS701,success,d46588f3-d769-405b-bfbd-d951f69bdcec,9007c5bc-6b7a-4536-8c86-285b9c7e6922,c210688c-2f1c-4cdb-b948-4e2f5b545efa,a725c2ed-1ac2-46f0-ae3d-0df3a9626567
3/16/2026 13:59,0b0e87a7-8b30-4962-8924-31934d6f74e4,henry.peterson,henry.peterson@spacecoastcybertech.com,24.165.140.45,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,SharePoint Online,SharePoint Online,"Melbourne, Florida, US",AS7922,success,9c5e7705-dee4-4f7b-b2dd-808ca7300017,d07fc60d-ceda-457a-8aab-790f410a4e9e,21a37aa0-07db-46df-afda-19db20958781,9f7369a1-6b71-42b7-abca-eb5840121c40
3/16/2026 14:01,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.113.18,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Exchange Online,Exchange Online,"Jacksonville, Florida, US",AS7018,success,92b4db80-287c-41a7-9ccf-fa13a579dab1,a88697ce-bdb6-49a4-ba33-5ba44b1ac72d,8b6495a4-3965-406a-b038-62310ee19e0a,ddf4bd87-989b-40bc-ba95-629a0863ca17
3/16/2026 14:26,57c17e07-228a-4f7d-8a96-dfe79e992b5c,gabriel.barnes,gabriel.barnes@spacecoastcybertech.com,24.165.192.35,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Exchange Online,Exchange Online,"Orlando, Florida, US",AS701,success,9de70743-4e95-4114-bb22-cf489a83fbdd,5f8ca99d-3cf3-451e-979a-b6a1e9d52525,ebb61755-a28b-4e7f-9f37-9c0e249b3bbc,6570073c-1b48-4351-99da-4ebf49c00bc4
3/16/2026 14:32,57c17e07-228a-4f7d-8a96-dfe79e992b5c,gabriel.barnes,gabriel.barnes@spacecoastcybertech.com,24.165.128.189,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Exchange Online,Exchange Online,"Orlando, Florida, US",AS701,success,f3c02555-923f-4e53-963e-9714187fe18a,b93202c0-558a-4662-a1b2-acfad1addb99,b73517f4-ba84-450a-bc64-cc6ef8216039,6c1cee96-0df3-471f-94a3-cae9d14a3c2a
3/16/2026 14:36,ad7d6953-44f8-4147-b253-a0ea3ca905a8,lily.henderson,lily.henderson@spacecoastcybertech.com,24.165.107.177,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Exchange Online,Exchange Online,"Titusville, Florida, US",AS11427,success,93e6fd8c-f4d0-46d2-aedd-a95359ed6fcb,12c7226b-419c-4635-a3bb-90b78acd7103,2df9450f-be33-4e13-a7c7-81d3be35400f,c7d55adb-5031-4d4b-913e-caac474a6948
3/16/2026 14:38,4aa38541-407c-4355-8cf3-9240a7062946,wyatt.coleman,wyatt.coleman@spacecoastcybertech.com,24.165.254.70,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Jacksonville, Florida, US",AS7018,success,9dae0f23-43cd-441b-8d8a-90bf1443ba6d,e6e746bf-69e9-4eb3-8802-8658d6e31a24,0df111d6-2fc6-4f23-88bb-99242b46a9ea,cb95f6eb-e64c-4c20-8c26-6f0c5380b7e9
3/16/2026 14:47,27c471e7-8b70-43be-bc81-0e8c315159e8,julian.simmons,julian.simmons@spacecoastcybertech.com,24.165.60.199,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Titusville, Florida, US",AS11427,success,69c444e1-d24f-43ba-8989-63fbe92d6908,4ba5b944-1e9e-4d54-8d68-3a6368f1ae8d,a2afd4c1-39d5-4350-8440-c1f475625a57,0c63bf8e-53f6-4839-8263-2e1d88517c57
3/16/2026 15:09,27c471e7-8b70-43be-bc81-0e8c315159e8,julian.simmons,julian.simmons@spacecoastcybertech.com,24.165.1.118,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Titusville, Florida, US",AS11427,success,988a376a-c0fe-4393-9f5e-08b3bab5e353,432b1e84-e1fc-4e10-a36a-4bc6a4b6535d,c204140c-f8e4-419d-a006-89910ed4216a,8ac09ed7-99e4-4fea-9f66-cd23951ba52b
3/16/2026 15:22,d6e25e2f-983f-47a2-a1a8-8a9f57b4b42f,zoe.butler,zoe.butler@spacecoastcybertech.com,24.165.128.131,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Exchange Online,Exchange Online,"Melbourne, Florida, US",AS7922,success,a8d87177-a7ad-4347-80e3-9c014ea42a76,aec6ca15-68b6-4bb9-a951-4f1b49ce4096,7b1c651f-96e1-4d5d-a9c1-4955e8af9735,20a3569c-9136-463f-b321-9d0e66147702
3/16/2026 15:24,7e2ea0e9-1a5c-4b08-891d-1035a84935d1,amelia.morgan,amelia.morgan@spacecoastcybertech.com,24.165.240.165,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Jacksonville, Florida, US",AS7018,success,eaed54a5-c292-429b-aaef-10271163d773,dff3c8f6-f0cf-4f2a-b87e-62cc5ced3b38,2bb8e639-b846-4ab9-816d-e90f4d546d0f,fbbbd9ab-fb4f-4a71-b602-92eda48d812d
3/16/2026 15:25,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.207.39,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Jacksonville, Florida, US",AS7018,success,73367f48-7110-4732-94ee-2e4935365ac9,491c3741-8037-4693-88ee-4c56447f7bc4,e40697dd-bb62-48fd-928a-a6302c1efb4a,2ec090f5-4ed9-4ecb-aa3e-9eb1f544dcec
3/16/2026 15:32,cfc43a1c-21c4-40b6-9546-70495d749b8f,abigail.collins,abigail.collins@spacecoastcybertech.com,24.165.95.145,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Orlando, Florida, US",AS701,success,9cb33676-5a87-4a36-a91e-44ab8da5e138,d856ffe2-afa5-412b-ac29-9bdf32cda8eb,1a6d43dd-baed-48b5-97ab-dc2c7661a174,f5a7d42b-2c5a-4cef-a7e0-f75792f718be
3/16/2026 15:32,d27039df-f1c8-4934-88d7-7bf757a033a4,michael.rivera,michael.rivera@spacecoastcybertech.com,24.165.68.227,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Microsoft Teams,Microsoft Teams,"Melbourne, Florida, US",AS7922,success,6d625996-fe18-4a36-bdad-996f6f06d958,c0538fcf-58a7-4200-a6b4-df626b8e9e36,a5c5da32-faed-40e2-ba24-85372fe82857,20bfafbb-c2b4-429e-a3e8-7718ef70a2b7
3/16/2026 15:53,e09aedcd-14f9-473a-ac7b-644253efa526,evelyn.rogers,evelyn.rogers@spacecoastcybertech.com,24.165.99.205,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,SharePoint Online,SharePoint Online,"Cocoa, Florida, US",AS7922,success,2f8e3a05-66fa-4c6c-a47c-8d2f41283df1,3e80d7f9-6df1-4e0c-8614-99b5837d0186,bc6eae32-5011-4913-893c-717c70f7b8ac,5df44930-3070-40c8-b8d9-3f1032829c7f
3/16/2026 15:53,e09aedcd-14f9-473a-ac7b-644253efa526,evelyn.rogers,evelyn.rogers@spacecoastcybertech.com,24.165.112.20,Failure,50053,Invalid username or password,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,notApplied,,,SharePoint Online,SharePoint Online,"Cocoa, Florida, US",AS7922,notApplied,e24e8830-f410-400a-91d2-bd4d31c67fb9,7f974bf9-dcf2-49af-b6e1-3aadda2f2b2c,b98a5734-8939-4b79-aadb-b32a91ea8b77,d9f0645e-308c-4372-8c2c-24a6de8e12be
3/16/2026 16:19,a019e7af-45dd-44fb-927e-49933445136f,elijah.price,elijah.price@spacecoastcybertech.com,24.165.178.42,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Cocoa, Florida, US",AS7922,success,c6c1c6d3-c29a-4b86-96ef-2313d4cbc206,53c9c9d4-bcaf-449c-bca8-c164bcfdb0b8,464d78da-11d7-4d4e-99f8-c21bce7fd534,7602d793-ae9a-4c37-b32a-ce9837e4f228
3/16/2026 17:14,a019e7af-45dd-44fb-927e-49933445136f,elijah.price,elijah.price@spacecoastcybertech.com,24.165.199.213,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Cocoa, Florida, US",AS7922,success,ac9b1fdb-e44b-42f2-ac98-899187138416,89d15f21-4978-4bce-b14e-3d72e843c47b,c64d58a5-3312-471a-b8c4-21cac14c6b16,5a635bf9-0c41-45ad-9f3c-e113e8057e45
3/16/2026 17:23,cc93ab24-0dfb-44c2-9938-8dcf90391910,harper.murphy,harper.murphy@spacecoastcybertech.com,24.165.43.76,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Cocoa, Florida, US",AS7922,success,354e5336-127e-4fac-a942-32cb14cd700b,f5fb9369-ed98-45bf-96da-4d31ff82615d,8d1582c0-d5c3-4299-947a-83c73f16e5e6,482823e0-d2f7-4fb3-9de6-8b7a5f94c039
3/16/2026 17:39,45010dc8-0022-40b3-907a-3c034d2c157e,noah.bennett,noah.bennett@spacecoastcybertech.com,24.165.102.133,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Orlando, Florida, US",AS701,success,313f0b50-a0f7-47e5-9eae-a05f8e1a57c0,d69be263-c3c7-4eea-8f73-51c812d91ddc,e30f1519-038a-470c-afba-73122d545b9c,2db7ab4b-71d1-4b48-acea-1d0e92e066ff
3/16/2026 18:42,7e2ea0e9-1a5c-4b08-891d-1035a84935d1,amelia.morgan,amelia.morgan@spacecoastcybertech.com,24.165.211.120,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Microsoft Teams,Microsoft Teams,"Jacksonville, Florida, US",AS7018,success,e615ba6a-8920-40b9-8db0-5511c6ee309f,5fc3b8ad-37e6-4374-9af7-77dddb81248d,f6fd15a0-9dba-428f-aae9-28091c42ca23,240cbc01-b363-40ee-8139-f75963d7b5f4
3/16/2026 18:48,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.135.70,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Jacksonville, Florida, US",AS7018,success,4ac36551-a854-4a24-b4f1-f67c83f04aba,d80d0356-bf7a-4cf8-a88f-baaef0d8ca0a,96f2c575-f3cb-4144-bc4a-4224a136f2bb,31a8c25e-79e2-4547-8185-941f571da728
3/16/2026 18:48,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.92.70,Failure,50053,Invalid username or password,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,notApplied,,,Office 365,Office 365,"Jacksonville, Florida, US",AS7018,notApplied,ce78c039-9bdf-4290-be27-3481df8e6f0f,dcef2c8d-5e77-496a-9299-f9b4bb95c6d1,746bf6df-079e-4d4b-9402-9b76d3c6a6d5,b69ca931-785b-4fc1-b839-e9b354ed4f19
3/16/2026 19:00,19828997-639a-4229-9b3e-188e14b8160c,victoria.perry,victoria.perry@spacecoastcybertech.com,24.165.105.2,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Titusville, Florida, US",AS11427,success,414fc4d5-a407-492a-b9e2-388552e48801,23c0132a-a514-4b3a-aaf0-ceff9868860c,b3f54261-b646-4c8b-ac7c-fdc7c7652cea,fea72ed4-54bd-4fce-b6cd-cad7980a669b
3/16/2026 19:03,b1f9d34e-c316-4a78-ab70-f856e9f95b63,lucas.cooper,lucas.cooper@spacecoastcybertech.com,24.165.167.50,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Azure Portal,Azure Portal,"Melbourne, Florida, US",AS7922,success,caf50c73-4175-4218-a906-73b81fd436f2,a0ade824-17cb-4b74-a940-85c294fbeeed,f8968c2e-84a4-4d10-b247-22d4aa7e1c02,a1c309ff-af37-4baa-bf9d-37425e7be896
3/16/2026 19:08,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.25.47,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Microsoft Teams,Microsoft Teams,"Jacksonville, Florida, US",AS7018,success,62e79081-0c35-449c-83ae-87dcd86c4ecc,bc340967-1c3f-4924-a117-49c67000c281,c03e469f-c05f-4498-9453-91d4625ee968,d2917afe-1a99-47c4-961a-8adea8dd196a
3/16/2026 19:18,27c471e7-8b70-43be-bc81-0e8c315159e8,julian.simmons,julian.simmons@spacecoastcybertech.com,24.165.211.214,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Office 365,Office 365,"Titusville, Florida, US",AS11427,success,9f665595-a276-48e9-93b0-0f364dfe6477,eb15cf30-1941-48b7-be43-452806e18914,6dca8ec1-6434-4bfa-b98a-570bf217eda7,d122874e-c876-4eb9-92bc-71790b92a633
3/16/2026 19:25,1af718e2-57a4-4b3e-a429-80a492d45c9a,isabella.foster,isabella.foster@spacecoastcybertech.com,24.165.19.171,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Melbourne, Florida, US",AS7922,success,035507ea-f075-40bd-887c-2d01dd5ccc41,efbc8d8e-37dc-4e24-bed1-e249895f69c4,da5044ba-8918-4803-9321-a20c99575ef9,7f5339f9-eda3-4354-8ebe-5cef8204107c
